Table_Name,Column_Name
ScreeningApplicantGroup,apgID
ScreeningApplicantGroup,apgCount
ScreeningApplicantGroup,leadID
ScreeningApplicantGroup,codeDispositionCode
ScreeningApplicantGroup,atcID
ScreeningApplicantGroup,smodID
ScreeningApplicantGroup,apgMonthlyIncome
ScreeningApplicantGroup,apgOtherIncome
ScreeningApplicantGroup,apgRentObligation
ScreeningApplicantGroup,apgFinalBit
ScreeningApplicantGroup,apgDispositionModifyUser
ScreeningApplicantGroup,apgDispositionModifyDate
ScreeningApplicantGroup,apgConditionsAll
ScreeningApplicantGroup,codeDispositionCodeOverride
ScreeningApplicantGroup,apgDispositionModifyUserOverride
ScreeningApplicantGroup,apgDispositionModifyDateOverride
ScreeningApplicantGroup,apgExternalID
ScreeningApplicantGroup,apgDepositAmount
ScreeningApplicantGroup,apgLeaseTermMonths
ScreeningApplicantGroup,apgUnitID
ScreeningApplicantGroup,apgUnitName
ScreeningApplicantGroup,apgBuildingID
ScreeningApplicantGroup,apgBuildingName
ScreeningApplicantGroup,apgExternalScreeningID
ScreeningApplicantGroup,apgleaID
ScreeningApplicantGroup,MoveInDate
ScreeningApplicantGroup,TotalDeposit
ScreeningApplicantGroup,OSscrtFailScoreCount
ScreeningApplicantGroup,OSscrtPassScoreCount
ScreeningApplicantGroup,apgCustomTextID
ScreeningApplicantGroup,apgUseCustomText
ScreeningApplicantGroup,apgUsePmcLtrContact
ScreeningApplicantGroup,RECORDSTAMP
ScreeningApplicantGroup,apgStatus
ScreeningApplicantGroup,apgUsePmcSig
ScreeningApplicantGroup,apgCancelled
ScreeningApplicantGroup,apgRecommendationDate
ScreeningApplicantGroup,sagAALetterType
ScreeningApplicantGroup,apgRequestSource
ScreeningApplicantGroup,MoveOutDate
ScreeningApplicantGroup,apgCustomApprovalTextID
ScreeningApplicantGroup,apgUseCustomApprovalText
ScreeningApplicantGroup,SadID
ScreeningApplicantGroup,ScoreMode
ScreeningApplicantGroup,BureauSwap
ScreeningApplicantGroup,apgCustomConditionalTextID
ScreeningApplicantGroup,apgUseCustomConditionalText
ScreeningApplicantGroup,appStateID
ScreeningApplicantGroup,apgRentObligationNoTAX
ScreeningApplicantGroup,NumberOfBedrooms
ScreeningApplicantGroup,BureauSwapFileFreeze
ScreeningApplicantGroup,NumberOfBureausOn
ScreeningApplicantGroup,PMCBureauSwapEnabled
ScreeningApplicantGroup,IsMultiStepUsed
ScreeningApplicantGroup,OSSiteID
ScreeningApplicantGroup,Source
ScreeningApplicantGroup,ContinuedScreening
ScreeningApplicantGroup,apgMonthlyRentalVoucherAmount
ScreeningApplicantGroup,apgRentalVoucherUsedForScoring
AppScreeningResults,asrID
AppScreeningResults,resmID
AppScreeningResults,asrAppID
AppScreeningResults,asrSubmitDate
AppScreeningResults,CreateDate
AppScreeningResults,asrResultDate
AppScreeningResults,asrResult
AppScreeningResults,asrConditions
AppScreeningResults,asrAppGID
AppScreeningResults,asrCREmploymentStatus
AppScreeningResults,RECORDSTAMP
AppScreeningResults,rmlID
AppScreeningResults,CustomerID
AppScreeningResults,OSSiteID
AppScreeningResults,asrDeleted
ScreeningAsyncService,ID
ScreeningAsyncService,appID
ScreeningAsyncService,VendorID
ScreeningAsyncService,ProductID
ScreeningAsyncService,Product
ScreeningAsyncService,SubProduct
ScreeningAsyncService,Price
ScreeningAsyncService,FullPrice
ScreeningAsyncService,Misc
ScreeningAsyncService,Used
ScreeningAsyncService,DeclineEntireSearch
ScreeningAsyncService,isReplaced
ScreeningAsyncService,Required
ScreeningAsyncService,Allowed
ScreeningAsyncService,ModifyUser
ScreeningAsyncService,ModifyDate
ScreeningAsyncService,TransmitDate
ScreeningAsyncService,ReceiveDate
ScreeningAsyncService,ResultID
ScreeningAsyncService,RECORDSTAMP
ScreeningAsyncService,ResearchNotes
ScreeningAsyncService,TransactionID
ScreeningAsyncService,OSSiteID
ScreeningAsyncService,IsCancelled
ScreeningAsyncService,CancelledDate
ScreeningXGLog,LogID
ScreeningXGLog,RequestID
ScreeningXGLog,Status
ScreeningXGLog,ServiceName
ScreeningXGLog,ServiceNumber
ScreeningXGLog,SubService
ScreeningXGLog,ServiceMethod
ScreeningXGLog,AppID
ScreeningXGLog,AppGID
ScreeningXGLog,ExtSvcAccessed
ScreeningXGLog,StartTime
ScreeningXGLog,LastUpdate
ScreeningXGLog,ErrorXml
ScreeningXGLog,MiscDataXml
ScreeningXGLog,CreateTime
ScreeningXGLog,OSSiteID
ScreeningXGXml,ID
ScreeningXGXml,AppID
ScreeningXGXml,ServiceName
ScreeningXGXml,SubService
ScreeningXGXml,RawXml
ScreeningXGXml,FilterXml
ScreeningXGXml,Deleted
ScreeningXGXml,CreateDate
ScreeningXGXml,DeleteDate
ScreeningXGXml,RECORDSTAMP
ScreeningXGXml,OSSiteID
ScreeningActivityLog,actID
ScreeningActivityLog,apgID
ScreeningActivityLog,actDate
ScreeningActivityLog,codeActivityTypeCode
ScreeningActivityLog,actDescription
ScreeningActivityLog,actUserID
ScreeningActivityLog,Displaybit
ScreeningActivityLog,ModifyDate
ScreeningActivityLog,leaID
ScreeningActivityLog,RECORDSTAMP
ScreeningActivityLog,GuestcardID
ScreeningActivityLog,OSSiteID
