Table_Name,Column_Name
ScreeningXGLetterJournal,ljID
ScreeningXGLetterJournal,xmlID
ScreeningXGLetterJournal,decID
ScreeningXGLetterJournal,ltID
ScreeningXGLetterJournal,actionID
ScreeningXGLetterJournal,ljLetterLang
ScreeningXGLetterJournal,ljCreateDT
ScreeningXGLetterJournal,ljCreateUID
ScreeningXGLetterJournal,OSSiteID
DocMgt_ScreeningRequiredDocumentTypes,ID
DocMgt_ScreeningRequiredDocumentTypes,DocumentTypeID
DocMgt_ScreeningRequiredDocumentTypes,ApplicantGroupID
DocMgt_ScreeningRequiredDocumentTypes,ApplicantID
DocMgt_ScreeningRequiredDocumentTypes,OSSiteID
ScreeningXGDecision,decID
ScreeningXGDecision,dtID
ScreeningXGDecision,apgID
ScreeningXGDecision,parentID
ScreeningXGDecision,actID
ScreeningXGDecision,decCode
ScreeningXGDecision,decDeposit
ScreeningXGDecision,createDate
ScreeningXGDecision,createUser
ScreeningXGDecision,updateDate
ScreeningXGDecision,updateUser
ScreeningXGDecision,active
ScreeningXGDecision,autoDecision
ScreeningXGDecision,decFee
ScreeningXGDecision,OSSiteID
ScreeningTempDepositAlternative,ID
ScreeningTempDepositAlternative,appGroupID
ScreeningTempDepositAlternative,DepositAlternativeInfo
ScreeningTempDepositAlternative,DepositInsuranceInfo
ScreeningTempDepositAlternative,createdBy
ScreeningTempDepositAlternative,createdDate
ScreeningTempDepositAlternative,OSSiteID
ScreeningXGLetterAction,actionID
ScreeningXGLetterAction,actionName
ScreeningXGLetterAction,actionDescription
ScreeningXGLetterAction,actionActive
ScreeningXGLetterAction,OSSiteID
ScreeningXGCriminalMatchRecords,LogID
ScreeningXGCriminalMatchRecords,ApgID
ScreeningXGCriminalMatchRecords,AppId
ScreeningXGCriminalMatchRecords,OffenderID
ScreeningXGCriminalMatchRecords,FName
ScreeningXGCriminalMatchRecords,MName
ScreeningXGCriminalMatchRecords,LName
ScreeningXGCriminalMatchRecords,BirthDate
ScreeningXGCriminalMatchRecords,FNameCode
ScreeningXGCriminalMatchRecords,MNameCode
ScreeningXGCriminalMatchRecords,DOBCode
ScreeningXGCriminalMatchRecords,ProcessedLastName
ScreeningXGCriminalMatchRecords,ProcessedNameType
ScreeningXGCriminalMatchRecords,SourceTable
ScreeningXGCriminalMatchRecords,RecSup
ScreeningXGCriminalMatchRecords,RecUnSup
ScreeningXGCriminalMatchRecords,Undisputed
ScreeningXGCriminalMatchRecords,Score
ScreeningXGCriminalMatchRecords,ProbabilityMatch
ScreeningXGCriminalMatchRecords,BF_FName_RecSup
ScreeningXGCriminalMatchRecords,BF_FName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_MName_RecSup
ScreeningXGCriminalMatchRecords,BF_MName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_LName_RecSup
ScreeningXGCriminalMatchRecords,BF_LName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_DOB_RecSup
ScreeningXGCriminalMatchRecords,BF_DOB_RecUnSup
ScreeningXGCriminalMatchRecords,BF_SourceTable_RecSup
ScreeningXGCriminalMatchRecords,BF_SourceTable_RecUnSup
ScreeningXGCriminalMatchRecords,CreateDate
ScreeningXGCriminalMatchRecords,OSSiteID
ScreeningXGLetterType,ltID
